country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ANNEXI,UNFCCC_AI,Waste,Aggregate GHGs,652.2984006,659.983603,663.0853478,661.9455753,662.6459654,658.8950999,652.5944385,639.9825068,625.1545659,613.4598739,606.8819005,596.8825288,591.8243059,587.26698,575.2375014,566.0744384,557.8112036,550.3567401,541.3604357,528.7424554,523.0317063,508.6787015,507.5689276,497.1807225,492.2095003,490.6905746,485.0699167,488.4587613,493.1031241,494.3282167,488.3324599,472.2902717
ANNEXI,UNFCCC_AI,Waste,CH4,596.6892727,604.2517172,606.0132451,605.0876571,602.812365,598.6554023,591.7492439,578.7363019,563.4526107,551.5707028,544.3273364,535.7807368,530.7864058,525.5674147,513.765813,504.6482397,497.0188846,489.3547781,479.5840554,469.7279053,462.9132925,449.2304504,447.2263306,436.6645022,432.0003556,430.5351132,424.8406999,427.7694188,430.9822275,432.047736,427.5159547,412.28282
ANNEXI,UNFCCC_AI,Waste,CO2,18.85920995,18.80704837,19.91695935,19.59979547,21.87799679,21.98377126,22.19357639,22.19510165,22.0322676,21.52564206,21.74102159,20.42928384,20.03143413,20.10207079,19.40729669,19.06134481,18.21807778,18.36437083,19.29005238,16.61730649,17.23295193,16.28989307,16.67116969,16.45097693,16.04157669,15.71396206,15.20506549,14.92702186,15.74498469,15.68609335,14.57306969,14.49804843
ANNEXI,UNFCCC_AI,Waste,N2O,36.74991789,36.92483743,37.15514337,37.2581228,37.95560365,38.25592637,38.65161824,39.05110324,39.6696876,40.36352902,40.81354256,40.67250811,41.00646589,41.59749444,42.06439171,42.36485394,42.57424127,42.6375912,42.4863279,42.39724369,42.88546179,43.15835806,43.67142734,44.06524335,44.16756807,44.44149935,45.02415138,45.76232073,46.37591197,46.59438728,46.24343549,45.50940322
AUS,UNFCCC_AI,Agriculture,Aggregate GHGs,84.92698186,84.1310398,81.40415588,79.40942015,79.46541606,75.91522564,78.10089277,79.32066461,79.06498752,79.12901822,82.25799683,81.26418336,81.1329174,75.66549061,79.16883597,79.77325513,78.2413052,74.31474236,71.86184781,72.16502014,69.7840181,74.35272326,75.78002189,75.96697196,76.42961606,73.55927116,72.63983721,76.55245145,75.14879959,69.75277418,67.83080884,
AUS,UNFCCC_AI,Agriculture,CH4,71.55138659,70.9744346,68.69997561,66.6079761,66.21166369,63.57175455,64.73944791,65.15209401,64.94607414,64.42710952,66.65078162,65.7178374,65.32959159,61.57202374,63.37774476,64.21104237,62.84393758,60.6841628,58.2767112,57.8890492,55.48145588,58.80748533,59.92925993,60.32798947,59.74850464,57.40885,56.23944437,58.35695079,58.38793842,54.17922568,51.9986941,
AUS,UNFCCC_AI,Agriculture,CO2,0.582013209,0.634896142,0.689811223,0.767034611,0.868784883,0.919397407,0.94555277,1.153686321,1.328724678,1.512899648,1.701121427,1.818643351,1.9304128,1.925923746,2.035070068,1.963452358,1.829691146,1.815787255,1.830382473,1.943183733,2.189138773,2.200550764,2.045073727,2.03811239,2.490909726,2.532969648,2.663250306,2.861739749,2.67471425,2.665384498,2.796545153,
AUS,UNFCCC_AI,Agriculture,N2O,12.79358206,12.52170906,12.01436905,12.03440943,12.38496749,11.42407368,12.41589209,13.01488428,12.7901887,13.18900905,13.90609378,13.72770261,13.87291302,12.16754312,13.75602114,13.59876039,13.56767647,11.8147923,11.75475413,12.33278721,12.11342345,13.34468717,13.80568823,13.6008701,14.1902017,13.61745152,13.73714254,15.33376091,14.08614692,12.908164,13.03556958,
AUS,UNFCCC_AI,Energy,Aggregate GHGs,293.6666524,295.4068645,301.5606845,304.8917162,305.9887505,318.3792824,324.878118,335.8635463,350.0145355,355.4032003,364.3359364,371.9170678,375.144185,380.5279313,393.3491798,400.0572223,405.8739591,413.8947713,418.6024775,423.4344825,418.3869979,415.1923358,420.6193223,414.0551307,408.0907272,418.7035548,428.0565592,430.1535425,432.5577406,431.5849762,415.8684436,
AUS,UNFCCC_AI,Energy,CH4,32.75809124,32.4803825,34.02849975,33.16122479,31.39180387,32.66589822,32.46694611,35.1585707,35.93250319,32.6808437,34.92991446,34.66053831,33.38130212,32.51787925,32.59729276,34.19735449,34.79185934,36.97608024,36.33654917,35.72383207,35.24691281,33.89709548,34.27753421,34.33970139,32.22637871,35.49376697,35.34314027,34.88832142,35.75913994,33.8936867,34.16410477,
